114,1,11
640,139,158
564,226,254
87,376,406
114,478,501
381,614,643
277,739,765
673,924,947
367,1099,1126
525,1273,1307
99,1377,1422
23,1563,1592
277,1664,1692
381,1790,1818
391,1977,1999
673,2096,2122
695,2269,2292
322,2426,2452
239,2604,2634
612,2769,2797
209,2954,2981
108,3119,3137
578,3285,3324
83,3422,3450
123,3610,3637
101,3760,3795
242,3921,3950
75,4126,4156
518,4319,4342
521,4466,4495
524,4618,4645
178,4790,4830
167,4955,4984
521,5147,5170
524,5293,5319
511,5528,5557
397,5677,5703
205,5832,5850
405,5961,5993
