381,1,16
277,112,141
525,274,302
99,372,417
23,558,587
277,659,687
381,785,821
114,937,973
640,1101,1136
555,1355,1383
564,1505,1536
87,1658,1689
43,1799,1830
23,1924,1955
99,2086,2117
676,2285,2316
542,2424,2455
638,2694,2725
3,2856,2886
19,2956,2978
249,3126,3152
130,3295,3318
533,3435,3461
458,3604,3634
221,3776,3799
670,3912,3940
309,4058,4084
365,4217,4244
470,4367,4397
134,4576,4607
642,4781,4812
669,4967,4994
540,5120,5149
335,5350,5372
668,5489,5516
663,5624,5655
667,5753,5784
523,5872,5898
